name,company,year,kms_driven,fuel_type,Price
Volkswagen XUV,Volkswagen,2011,141932,Electric,50000
Tata XUV,Tata,2012,120268,Electric,111503
Chevrolet Swift,Chevrolet,2011,147337,Electric,121839
Volkswagen Kwid,Volkswagen,2015,97498,LPG,218099
Toyota XUV,Toyota,2008,26023,Diesel,50000
Toyota Nexon,Toyota,2006,69735,CNG,50000
Mahindra i20,Mahindra,2010,15311,Petrol,50000
Volkswagen i20,Volkswagen,2005,95305,Petrol,50000
Hyundai Figo,Hyundai,2016,140608,Petrol,81218
Maruti Innova,Maruti,2014,140523,CNG,120259
Chevrolet Beat,Chevrolet,2020,75725,Electric,610916
Ford Swift,Ford,2019,129346,Diesel,297304
Toyota Figo,Toyota,2007,79092,Petrol,50000
Maruti Polo,Maruti,2011,97313,CNG,88024
Maruti Polo,Maruti,2018,78148,Diesel,271238
Ford Beat,Ford,2019,134358,Electric,290134
Ford i20,Ford,2012,120510,LPG,50000
Renault Nexon,Renault,2018,45920,LPG,211229
Renault Figo,Renault,2012,29457,Diesel,50000
Hyundai i20,Hyundai,2014,62995,LPG,237066
Volkswagen i20,Volkswagen,2022,47065,CNG,903362
Mahindra City,Mahindra,2008,21534,Petrol,50000
Mahindra i20,Mahindra,2018,101387,Electric,386017
Chevrolet Nexon,Chevrolet,2012,33247,Electric,153565
Renault i20,Renault,2022,92798,Electric,449568
Tata Figo,Tata,2017,48044,CNG,320713
Volkswagen i20,Volkswagen,2005,58984,CNG,50000
Volkswagen XUV,Volkswagen,2013,130151,Petrol,50000
Volkswagen Kwid,Volkswagen,2015,49504,LPG,50000
Mahindra Kwid,Mahindra,2007,139312,CNG,50000
Ford Swift,Ford,2009,144633,Petrol,50000
Ford Figo,Ford,2013,32662,CNG,181616
Volkswagen Figo,Volkswagen,2016,123569,Diesel,239342
Tata XUV,Tata,2020,137478,LPG,304591
Chevrolet Polo,Chevrolet,2016,20965,LPG,51797
Chevrolet Polo,Chevrolet,2007,123252,CNG,50000
Maruti City,Maruti,2018,108806,LPG,350720
Toyota Swift,Toyota,2011,131626,CNG,139247
Renault i20,Renault,2019,132409,Electric,169757
Renault Innova,Renault,2011,132096,CNG,146043
Honda Figo,Honda,2008,115878,Electric,72908
Ford Swift,Ford,2019,72623,LPG,451566
Chevrolet Swift,Chevrolet,2006,119225,Diesel,50000
Volkswagen Beat,Volkswagen,2010,105259,Diesel,83471
Renault City,Renault,2016,35939,LPG,324247
Honda Innova,Honda,2011,135117,CNG,102467
Tata Polo,Tata,2005,138376,Diesel,50000
Honda Nexon,Honda,2017,65016,Electric,163577
Renault Figo,Renault,2011,31959,LPG,50000
Ford Beat,Ford,2014,137659,Petrol,59844
Honda Polo,Honda,2013,128451,LPG,89721
Ford XUV,Ford,2016,62733,CNG,60825
Maruti Polo,Maruti,2006,77172,Electric,50000
Hyundai Kwid,Hyundai,2021,36736,LPG,221632
Mahindra City,Mahindra,2006,122859,Petrol,50000
Mahindra i20,Mahindra,2009,17392,Electric,50000
Ford Kwid,Ford,2006,60859,Petrol,50000
Renault City,Renault,2010,80467,Electric,124314
Renault XUV,Renault,2015,119751,Electric,197995
Ford Kwid,Ford,2010,116308,CNG,50000
Tata Swift,Tata,2010,99045,Diesel,65310
Chevrolet Figo,Chevrolet,2020,32671,Petrol,111338
Volkswagen City,Volkswagen,2007,59811,Petrol,73565
Hyundai City,Hyundai,2008,134249,Petrol,50000
Chevrolet Beat,Chevrolet,2011,149752,Petrol,50000
Hyundai Kwid,Hyundai,2012,81295,Petrol,113319
Volkswagen Swift,Volkswagen,2022,21111,Diesel,771578
Tata Figo,Tata,2022,57254,Electric,462843
Honda Beat,Honda,2011,56843,Petrol,86299
Hyundai i20,Hyundai,2020,117512,LPG,152987
Volkswagen XUV,Volkswagen,2021,143121,CNG,461576
Maruti Swift,Maruti,2020,122893,Diesel,550788
Maruti Swift,Maruti,2009,127796,CNG,105724
Toyota XUV,Toyota,2013,17400,CNG,82326
Volkswagen Innova,Volkswagen,2020,76690,Diesel,490556
Toyota Swift,Toyota,2005,22183,LPG,50000
Hyundai City,Hyundai,2021,42711,LPG,517388
Tata Nexon,Tata,2010,136063,Diesel,88159
Chevrolet Swift,Chevrolet,2007,143272,Petrol,50488
Renault i20,Renault,2022,31357,CNG,814066
Renault Polo,Renault,2007,60108,CNG,50000
Maruti Kwid,Maruti,2008,100272,Electric,50000
Ford City,Ford,2005,101412,Electric,50000
Renault Beat,Renault,2012,96416,Electric,54251
Hyundai XUV,Hyundai,2016,117450,CNG,84962
Ford Swift,Ford,2018,126381,Diesel,105972
Chevrolet i20,Chevrolet,2012,40746,LPG,125392
Mahindra i20,Mahindra,2005,117455,LPG,50000
Honda Beat,Honda,2020,55714,CNG,520503
Tata Innova,Tata,2007,119616,Diesel,50000
Volkswagen Beat,Volkswagen,2021,134123,CNG,591706
Chevrolet Figo,Chevrolet,2018,46212,LPG,329718
Honda Nexon,Honda,2007,73208,CNG,50000
Tata City,Tata,2021,141373,Electric,163172
Tata Figo,Tata,2007,134019,Petrol,50000
Renault i20,Renault,2005,128015,Petrol,50000
Hyundai Nexon,Hyundai,2022,113746,LPG,746684
Renault Beat,Renault,2018,46631,Petrol,423198
Renault i20,Renault,2019,21093,CNG,477504
Maruti Nexon,Maruti,2006,66958,LPG,60007
Volkswagen Kwid,Volkswagen,2014,115864,Electric,115792
Maruti Nexon,Maruti,2011,64748,LPG,74384
Honda i20,Honda,2007,39592,LPG,53094
Toyota Figo,Toyota,2017,120627,Diesel,125369
Mahindra Nexon,Mahindra,2012,16655,LPG,179514
Chevrolet Innova,Chevrolet,2020,97922,LPG,286977
Maruti Kwid,Maruti,2019,42097,Diesel,450711
Chevrolet i20,Chevrolet,2021,80313,Electric,199688
Hyundai Nexon,Hyundai,2015,123632,Electric,234548
Toyota Nexon,Toyota,2016,124692,LPG,277770
Volkswagen City,Volkswagen,2008,83523,CNG,83929
Honda Kwid,Honda,2022,27019,LPG,754627
Renault Nexon,Renault,2021,83847,LPG,118310
Mahindra Beat,Mahindra,2009,42217,Electric,92903
Honda i20,Honda,2013,110235,LPG,187128
Hyundai i20,Hyundai,2005,76617,Electric,50000
Renault Swift,Renault,2005,140798,CNG,50000
Chevrolet Polo,Chevrolet,2020,30056,Diesel,166806
Mahindra Nexon,Mahindra,2017,124548,CNG,155064
Ford Nexon,Ford,2020,39375,Petrol,383421
Renault Beat,Renault,2009,123429,Petrol,50000
Mahindra Swift,Mahindra,2007,77215,LPG,50000
Volkswagen Swift,Volkswagen,2018,19435,Diesel,207397
Honda Beat,Honda,2019,88832,CNG,104254
Chevrolet Beat,Chevrolet,2009,53919,Diesel,71048
Renault Kwid,Renault,2020,131172,Electric,302610
Ford Figo,Ford,2005,66573,Electric,50019
Maruti Innova,Maruti,2009,36646,Electric,80613
Ford Beat,Ford,2014,108116,Diesel,141230
Hyundai Figo,Hyundai,2014,33289,Petrol,181607
Honda City,Honda,2005,51975,Petrol,50000
Hyundai Nexon,Hyundai,2017,145683,LPG,203443
Toyota Kwid,Toyota,2020,114182,LPG,362250
Honda Beat,Honda,2016,21938,CNG,266765
